,id,platform,keepID,json_name,column_name,path,list_path,subfield_path,var_type,data_type,file_path,duplicate_flag,date_added,final_path
1729,istoricul-vizionărilor:activityControls,Youtube,watch-history:activityControls,istoricul-vizionărilor.json,activityControls,activityControls,[],"[""activityControls""]",list,string,istoric/istoricul-vizionărilor.json,No,pre-trial,istoric/istoricul-vizionărilor.json/activityControls
1730,istoricul-vizionărilor:name,Youtube,watch-history:subtitles:name,istoricul-vizionărilor.json,name,subtitles/name,"[""subtitles""]","[""name""]",list,string,istoric/istoricul-vizionărilor.json,No,pre-trial,istoric/istoricul-vizionărilor.json/subtitles/name
1731,istoricul-vizionărilor:url,Youtube,watch-history:subtitles:url,istoricul-vizionărilor.json,url,subtitles/url,"[""subtitles""]","[""url""]",list,string,istoric/istoricul-vizionărilor.json,No,pre-trial,istoric/istoricul-vizionărilor.json/subtitles/url
1732,search-history:header,Youtube,search-history:header,search-history.json,header,header,[],"[""header""]",list,string,history/search-history.json,Yes,pre-trial,history/search-history.json/header
1733,search-history:title,Youtube,search-history:title,search-history.json,title,title,[],"[""title""]",list,string,history/search-history.json,Yes,pre-trial,history/search-history.json/title
1734,search-history:titleUrl,Youtube,search-history:titleUrl,search-history.json,titleUrl,titleUrl,[],"[""titleUrl""]",list,string,history/search-history.json,Yes,pre-trial,history/search-history.json/titleUrl
1735,search-history:description,Youtube,search-history:description,search-history.json,description,description,[],"[""description""]",list,string,history/search-history.json,No,pre-trial,history/search-history.json/description
1736,search-history:time,Youtube,search-history:time,search-history.json,time,time,[],"[""time""]",list,string,history/search-history.json,Yes,pre-trial,history/search-history.json/time
1737,search-history:products,Youtube,search-history:products,search-history.json,products,products,[],"[""products""]",list,string,history/search-history.json,Yes,pre-trial,history/search-history.json/products
1738,search-history:activityControls,Youtube,search-history:activityControls,search-history.json,activityControls,activityControls,[],"[""activityControls""]",list,string,history/search-history.json,Yes,pre-trial,history/search-history.json/activityControls
1739,watch-history:header,Youtube,watch-history:header,watch-history.json,header,header,[],"[""header""]",list,string,history/watch-history.json,Yes,pre-trial,history/watch-history.json/header
1740,watch-history:title,Youtube,watch-history:title,watch-history.json,title,title,[],"[""title""]",list,string,history/watch-history.json,Yes,pre-trial,history/watch-history.json/title
1741,watch-history:titleUrl,Youtube,watch-history:titleUrl,watch-history.json,titleUrl,titleUrl,[],"[""titleUrl""]",list,string,history/watch-history.json,No,pre-trial,history/watch-history.json/titleUrl
1742,watch-history:time,Youtube,watch-history:time,watch-history.json,time,time,[],"[""time""]",list,string,history/watch-history.json,Yes,pre-trial,history/watch-history.json/time
1743,watch-history:products,Youtube,watch-history:products,watch-history.json,products,products,[],"[""products""]",list,string,history/watch-history.json,Yes,pre-trial,history/watch-history.json/products
1744,watch-history:activityControls,Youtube,watch-history:activityControls,watch-history.json,activityControls,activityControls,[],"[""activityControls""]",list,string,history/watch-history.json,Yes,pre-trial,history/watch-history.json/activityControls
1745,search-history:name,Youtube,search-history:name,search-history.json,name,details/name,"[""details""]","[""name""]",list,string,history/search-history.json,No,pre-trial,history/search-history.json/details/name
1746,watch-history:subtitles:name,Youtube,watch-history:subtitles:name,watch-history.json,name,subtitles/name,"[""subtitles""]","[""name""]",list,string,history/watch-history.json,No,pre-trial,history/watch-history.json/subtitles/name
1747,watch-history:url,Youtube,watch-history:url,watch-history.json,url,subtitles/url,"[""subtitles""]","[""url""]",list,string,history/watch-history.json,No,pre-trial,history/watch-history.json/subtitles/url
1748,paieškos istorija:header,Youtube,search-history:header,paieškos istorija.json,header,header,[],"[""header""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/header
1749,paieškos istorija:title,Youtube,search-history:title,paieškos istorija.json,title,title,[],"[""title""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/title
1750,paieškos istorija:titleUrl,Youtube,search-history:titleUrl,paieškos istorija.json,titleUrl,titleUrl,[],"[""titleUrl""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/titleUrl
1751,paieškos istorija:time,Youtube,search-history:time,paieškos istorija.json,time,time,[],"[""time""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/time
1752,paieškos istorija:products,Youtube,search-history:products,paieškos istorija.json,products,products,[],"[""products""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/products
1753,paieškos istorija:activityControls,Youtube,search-history:activityControls,paieškos istorija.json,activityControls,activityControls,[],"[""activityControls""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/activityControls
1754,žiūrėjimo istorija:header,Youtube,watch-history:header,žiūrėjimo istorija.json,header,header,[],"[""header""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/header
1755,žiūrėjimo istorija:title,Youtube,watch-history:title,žiūrėjimo istorija.json,title,title,[],"[""title""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/title
1756,žiūrėjimo istorija:titleUrl,Youtube,watch-history:titleUrl,žiūrėjimo istorija.json,titleUrl,titleUrl,[],"[""titleUrl""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/titleUrl
1757,žiūrėjimo istorija:time,Youtube,watch-history:time,žiūrėjimo istorija.json,time,time,[],"[""time""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/time
1758,žiūrėjimo istorija:products,Youtube,watch-history:products,žiūrėjimo istorija.json,products,products,[],"[""products""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/products
1759,žiūrėjimo istorija:activityControls,Youtube,watch-history:activityControls,žiūrėjimo istorija.json,activityControls,activityControls,[],"[""activityControls""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/activityControls
1760,žiūrėjimo istorija:name,Youtube,watch-history:subtitles:name,žiūrėjimo istorija.json,name,subtitles/name,"[""subtitles""]","[""name""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/subtitles/name
1761,žiūrėjimo istorija:url,Youtube,watch-history:subtitles:url,žiūrėjimo istorija.json,url,subtitles/url,"[""subtitles""]","[""url""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/subtitles/url
1762,paieškos istorija:header,Youtube,search-history:header,paieškos istorija.json,header,header,[],"[""header""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/header
1763,paieškos istorija:title,Youtube,search-history:title,paieškos istorija.json,title,title,[],"[""title""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/title
1764,paieškos istorija:titleUrl,Youtube,search-history:titleUrl,paieškos istorija.json,titleUrl,titleUrl,[],"[""titleUrl""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/titleUrl
1765,paieškos istorija:description,Youtube,search-history:description,paieškos istorija.json,description,description,[],"[""description""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/description
1766,paieškos istorija:time,Youtube,search-history:time,paieškos istorija.json,time,time,[],"[""time""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/time
1767,paieškos istorija:products,Youtube,search-history:products,paieškos istorija.json,products,products,[],"[""products""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/products
1768,paieškos istorija:activityControls,Youtube,search-history:activityControls,paieškos istorija.json,activityControls,activityControls,[],"[""activityControls""]",list,string,istorija/paieškos istorija.json,No,pre-trial,istorija/paieškos istorija.json/activityControls
1769,žiūrėjimo istorija:header,Youtube,watch-history:header,žiūrėjimo istorija.json,header,header,[],"[""header""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/header
1770,žiūrėjimo istorija:title,Youtube,watch-history:title,žiūrėjimo istorija.json,title,title,[],"[""title""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/title
1771,žiūrėjimo istorija:titleUrl,Youtube,watch-history:titleUrl,žiūrėjimo istorija.json,titleUrl,titleUrl,[],"[""titleUrl""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/titleUrl
1772,žiūrėjimo istorija:description,Youtube,watch-history:description,žiūrėjimo istorija.json,description,description,[],"[""description""]",list,string,istorija/žiūrėjimo istorija.json,No,pre-trial,istorija/žiūrėjimo istorija.json/description
