,platform,final_path,id,keepID
1043,Facebook,your_facebook_activity/comments_and_reactions/likes_and_reactions_1.json/timestamp,your_facebook_activity:comments_and_reactions:likes_and_reactions_1:timestamp,comments_and_reactions:likes_and_reactions_1:timestamp
1045,Facebook,your_facebook_activity/comments_and_reactions/likes_and_reactions.json/timestamp,your_facebook_activity:comments_and_reactions:likes_and_reactions:timestamp,comments_and_reactions:likes_and_reactions:timestamp
1046,Facebook,your_facebook_activity/comments_and_reactions/likes_and_reactions.json/media,your_facebook_activity:comments_and_reactions:likes_and_reactions:media,comments_and_reactions:likes_and_reactions:media
1047,Facebook,your_facebook_activity/comments_and_reactions/likes_and_reactions.json/fbid,your_facebook_activity:comments_and_reactions:likes_and_reactions:fbid,comments_and_reactions:likes_and_reactions:fbid
1114,Facebook,ads_information/advertisers_you've_interacted_with.json/history_v2/timestamp,ads_information:advertisers_you've_interacted_with:history_v2:timestamp,ads_information:advertisers_you_ve_interacted_with:timestamp
1157,Facebook,preferences/feed/controls.json/controls/name,preferences:feed:controls:controls:name,feed:controls:controls:name
1158,Facebook,preferences/feed/controls.json/controls/description,preferences:feed:controls:controls:description,feed:controls:description
1160,Facebook,preferences/feed/snooze.json/label_values/label,preferences:feed:snooze:label_values:label,feed:snooze:label
1161,Facebook,preferences/feed/snooze.json/label_values/value,preferences:feed:snooze:label_values:value,feed:snooze:value
1221,Facebook,your_facebook_activity/posts/your_videos.json/videos_v2/uri,your_facebook_activity:posts:your_videos:videos_v2:uri,posts:your_videos:uri
1222,Facebook,your_facebook_activity/posts/your_videos.json/videos_v2/creation_timestamp,your_facebook_activity:posts:your_videos:videos_v2:creation_timestamp,posts:your_videos:creation_timestamp
1223,Facebook,your_facebook_activity/posts/your_videos.json/videos_v2/title,your_facebook_activity:posts:your_videos:videos_v2:title,posts:your_videos:title
1224,Facebook,your_facebook_activity/posts/your_videos.json/videos_v2/description,your_facebook_activity:posts:your_videos:videos_v2:description,posts:your_videos:description
1225,Facebook,your_facebook_activity/posts/your_videos.json/videos_v2/dubbing_info,your_facebook_activity:posts:your_videos:videos_v2:dubbing_info,posts:your_videos:dubbing_info
1226,Facebook,your_facebook_activity/posts/your_videos.json/videos_v2/media_variants,your_facebook_activity:posts:your_videos:videos_v2:media_variants,posts:your_videos:media_variants
1238,Facebook,your_facebook_activity/other_activity/your_video_consumption_summary.json/label_values/label,your_facebook_activity:other_activity:your_video_consumption_summary:label_values:label,other_activity:your_video_consumption_summary:label
1239,Facebook,your_facebook_activity/comments_and_reactions/comments.json/comments_v2/timestamp,your_facebook_activity:comments_and_reactions:comments:comments_v2:timestamp,comments_and_reactions:comments:comments_v2:timestamp
1243,Facebook,your_facebook_activity/groups/your_comments_in_groups.json/group_comments_v2/timestamp,your_facebook_activity:groups:your_comments_in_groups:group_comments_v2:timestamp,groups:your_comments_in_groups:group_comments_v2:timestamp
1245,Facebook,your_facebook_activity/groups/your_group_membership_activity.json/groups_joined_v2/timestamp,your_facebook_activity:groups:your_group_membership_activity:groups_joined_v2:timestamp,groups:your_group_membership_activity:timestamp
1246,Facebook,your_facebook_activity/groups/your_group_membership_activity.json/groups_joined_v2/title,your_facebook_activity:groups:your_group_membership_activity:groups_joined_v2:title,groups:your_group_membership_activity:title
1264,Facebook,your_facebook_activity/saved_items_and_collections/your_saved_items.json/saves_v2/timestamp,your_facebook_activity:saved_items_and_collections:your_saved_items:saves_v2:timestamp,saved_items_and_collections:your_saved_items:timestamp
1265,Facebook,your_facebook_activity/saved_items_and_collections/your_saved_items.json/saves_v2/title,your_facebook_activity:saved_items_and_collections:your_saved_items:saves_v2:title,saved_items_and_collections:your_saved_items:title
