,participant,platform,final_path,date_added,duplicate_flag,keepID
1788,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/comments_and_reactions/comments.json/comments_v2/data/comment/timestamp,pre-trial,No,comments_and_reactions:comments:comment:timestamp
1789,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/comments_and_reactions/comments.json/comments_v2/data/comment/timestamp,11/11/2025,No,comments_and_reactions:comments:comment:timestamp
1790,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/comments_and_reactions/comments.json/comments_v2/data/comment/comment,pre-trial,No,comments_and_reactions:comments:comment
1791,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/comments_and_reactions/comments.json/comments_v2/data/comment/comment,11/11/2025,No,comments_and_reactions:comments:comment
1792,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/saved_items_and_collections/collections.json/collections_v2/attachments/data/name,11/11/2025,No,saved_items_and_collections:collections:name
1793,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/other_activity/your_recently_followed_history.json/label_values/vec/dict/label,pre-trial,No,your_facebook_activity:other_activity:your_recently_followed_history:label_values:vec:dict:label
1794,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/other_activity/your_recently_followed_history.json/label_values/vec/dict/label,11/11/2025,No,your_facebook_activity:other_activity:your_recently_followed_history:label_values:vec:dict:label
1795,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/other_activity/your_recently_followed_history.json/label_values/vec/dict/value,pre-trial,No,your_facebook_activity:other_activity:your_recently_followed_history:label_values:vec:dict:value
1796,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/other_activity/your_recently_followed_history.json/label_values/vec/dict/value,11/11/2025,No,your_facebook_activity:other_activity:your_recently_followed_history:label_values:vec:dict:value
1797,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/other_activity/time_spent_on_facebook.json/label_values/vec/dict/label,pre-trial,No,other_activity:time_spent_on_facebook:vec:dict:label
1798,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/other_activity/time_spent_on_facebook.json/label_values/vec/dict/label,11/11/2025,No,other_activity:time_spent_on_facebook:vec:dict:label
1799,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/other_activity/time_spent_on_facebook.json/label_values/vec/dict/timestamp_value,pre-trial,No,other_activity:time_spent_on_facebook:dict:timestamp_value
1800,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/other_activity/time_spent_on_facebook.json/label_values/vec/dict/timestamp_value,11/11/2025,No,other_activity:time_spent_on_facebook:dict:timestamp_value
1801,Output_structure_Facebook_a6a3da1372c02200,Facebook,preferences/feed/controls.json/controls/entries/data/name,11/11/2025,No,feed:controls:data:name
1802,Output_structure_Facebook_a6a3da1372c02200,Facebook,preferences/feed/controls.json/controls/entries/data/uri,11/11/2025,No,feed:controls:uri
1803,Output_structure_Facebook_a6a3da1372c02200,Facebook,preferences/feed/feed.json/people_and_friends_v2/entries/data/name,pre-trial,No,feed:feed:data:name
1804,Output_structure_Facebook_a6a3da1372c02200,Facebook,preferences/feed/feed.json/people_and_friends_v2/entries/data/uri,pre-trial,No,feed:feed:uri
1805,Output_structure_Facebook_a6a3da1372c02200,Facebook,ads_information/ad_preferences.json/label_values/dict/dict/label,pre-trial,No,ads_information:ad_preferences:dict:label
1806,Output_structure_Facebook_a6a3da1372c02200,Facebook,ads_information/ad_preferences.json/label_values/dict/dict/label,11/11/2025,No,ads_information:ad_preferences:dict:label
1807,Output_structure_Facebook_a6a3da1372c02200,Facebook,ads_information/ad_preferences.json/label_values/dict/dict/value,pre-trial,No,ads_information:ad_preferences:dict:value
1808,Output_structure_Facebook_a6a3da1372c02200,Facebook,ads_information/ad_preferences.json/label_values/dict/dict/value,11/11/2025,No,ads_information:ad_preferences:dict:value
1809,Output_structure_Facebook_a6a3da1372c02200,Facebook,ads_information/ad_preferences.json/label_values/dict/dict/timestamp_value,11/11/2025,No,ads_information:ad_preferences:timestamp_value
1810,Output_structure_Facebook_a6a3da1372c02200,Facebook,logged_information/search/your_search_history.json/searches_v2/attachments/data/text,pre-trial,No,search:your_search_history:attachments:data:text
1811,Output_structure_Facebook_a6a3da1372c02200,Facebook,logged_information/search/groups_you've_searched_for.json/group_search/attachments/data/text,11/11/2025,No,search:groups_you've_searched_for:attachments:data:text
1812,Output_structure_Facebook_a6a3da1372c02200,Facebook,logged_information/interactions/recently_viewed.json/recently_viewed/entries/data/name,pre-trial,No,interactions:recently_viewed:recently_viewed:entries:data:name
1813,Output_structure_Facebook_a6a3da1372c02200,Facebook,logged_information/interactions/recently_viewed.json/recently_viewed/entries/data/uri,pre-trial,No,interactions:recently_viewed:recently_viewed:entries:data:uri
1814,Output_structure_Facebook_a6a3da1372c02200,Facebook,logged_information/interactions/recently_viewed.json/recently_viewed/children/entries/timestamp,pre-trial,No,interactions:recently_viewed:children:entries:timestamp
1815,Output_structure_Facebook_a6a3da1372c02200,Facebook,logged_information/interactions/recently_visited.json/visited_things_v2/entries/data/name,pre-trial,No,interactions:recently_visited:data:name
1816,Output_structure_Facebook_a6a3da1372c02200,Facebook,logged_information/interactions/recently_visited.json/visited_things_v2/entries/data/uri,pre-trial,No,interactions:recently_visited:uri
1817,Output_structure_Facebook_a6a3da1372c02200,Facebook,logged_information/interactions/recently_visited.json/visited_things_v2/entries/data/value,11/11/2025,No,interactions:recently_visited:value
1818,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/group_invites_you've_received.json/label_values/dict/dict/label,11/11/2025,No,groups:group_invites_you've_received:dict:label
1819,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/group_invites_you've_received.json/label_values/dict/dict/value,11/11/2025,No,groups:group_invites_you've_received:dict:value
1820,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/your_actions_on_violating_content_in_your_groups.json/label_values/dict/dict/label,11/11/2025,No,groups:your_actions_on_violating_content_in_your_groups:label_values:dict:dict:label
1821,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/your_actions_on_violating_content_in_your_groups.json/label_values/dict/dict/value,11/11/2025,No,groups:your_actions_on_violating_content_in_your_groups:label_values:dict:dict:value
1822,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/your_actions_on_violating_content_in_your_groups.json/label_values/dict/dict/href,11/11/2025,No,groups:your_actions_on_violating_content_in_your_groups:href
1823,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/your_actions_on_violating_content_in_your_groups.json/label_values/dict/dict/title,11/11/2025,No,groups:your_actions_on_violating_content_in_your_groups:label_values:dict:dict:title
1824,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/comments_and_reactions/likes_and_reactions.json/label_values/dict/dict/label,pre-trial,No,comments_and_reactions:likes_and_reactions:dict:label
1825,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/comments_and_reactions/likes_and_reactions.json/label_values/dict/dict/value,pre-trial,No,comments_and_reactions:likes_and_reactions:dict:value
1826,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/polls/your_poll_votes.json/label_values/dict/dict/label,11/11/2025,No,polls:your_poll_votes:dict:label
1827,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/polls/your_poll_votes.json/label_values/dict/dict/value,11/11/2025,No,polls:your_poll_votes:dict:value
