,participant,platform,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path,final_path
9063,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,timestamp,account_history_login_history/string_map_data/IP Address/timestamp,['account_history_login_history'],"['string_map_data', 'IP Address', 'timestamp']",list,number,login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json/account_history_login_history/string_map_data/IP Address/timestamp
9064,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,href,account_history_login_history/string_map_data/Port/href,['account_history_login_history'],"['string_map_data', 'Port', 'href']",list,string,login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json/account_history_login_history/string_map_data/Port/href
9065,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,value,account_history_login_history/string_map_data/Port/value,['account_history_login_history'],"['string_map_data', 'Port', 'value']",list,string,login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json/account_history_login_history/string_map_data/Port/value
9066,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,timestamp,account_history_login_history/string_map_data/Port/timestamp,['account_history_login_history'],"['string_map_data', 'Port', 'timestamp']",list,number,login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json/account_history_login_history/string_map_data/Port/timestamp
9067,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,href,account_history_login_history/string_map_data/Language Code/href,['account_history_login_history'],"['string_map_data', 'Language Code', 'href']",list,string,login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json/account_history_login_history/string_map_data/Language Code/href
9068,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,value,account_history_login_history/string_map_data/Language Code/value,['account_history_login_history'],"['string_map_data', 'Language Code', 'value']",list,string,login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json/account_history_login_history/string_map_data/Language Code/value
9069,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,timestamp,account_history_login_history/string_map_data/Language Code/timestamp,['account_history_login_history'],"['string_map_data', 'Language Code', 'timestamp']",list,number,login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json/account_history_login_history/string_map_data/Language Code/timestamp
9070,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,href,account_history_login_history/string_map_data/Time/href,['account_history_login_history'],"['string_map_data', 'Time', 'href']",list,string,login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json/account_history_login_history/string_map_data/Time/href
9071,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,value,account_history_login_history/string_map_data/Time/value,['account_history_login_history'],"['string_map_data', 'Time', 'value']",list,string,login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json/account_history_login_history/string_map_data/Time/value
9072,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,timestamp,account_history_login_history/string_map_data/Time/timestamp,['account_history_login_history'],"['string_map_data', 'Time', 'timestamp']",list,number,login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json,security_and_login_information/login_and_profile_creation/login_activity.json/account_history_login_history/string_map_data/Time/timestamp
